Date,Source,Site ID,POC,DailyMax,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
04/01/2020,AQS,080013001,1,41.4,ppb,39,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/02/2020,AQS,080013001,1,5.3,ppb,5,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/03/2020,AQS,080013001,1,25.9,ppb,24,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/04/2020,AQS,080013001,1,31,ppb,29,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/05/2020,AQS,080013001,1,30.7,ppb,28,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/06/2020,AQS,080013001,1,41.1,ppb,39,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/07/2020,AQS,080013001,1,40.9,ppb,38,Welby,22,92.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/08/2020,AQS,080013001,1,41.8,ppb,39,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/09/2020,AQS,080013001,1,23.1,ppb,22,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/10/2020,AQS,080013001,1,37.2,ppb,35,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
04/11/2020,AQS,080013001,1,35,ppb,33,Welby,23,96.0000,42602,Nitrogen dioxide (NO2),19740,Denver-Aurora-Lakewood, CO,08,Colorado,001,Adams,39.8381190009282,-104.94984
